Review ID,Username,Rating,Review Text,Date
419d8711-7e9f-40de-b040-eae3c501c619,Ruuhul Maani,1,"sering gangguan, banyak bug, sudah pasang stop loss malah gk kejual saham saya.",2025-11-03 08:44:09
2655d5dc-5845-4ce5-9029-1796d2d80043,Nur Bay,5,min tolong adain fitur trailing stop 🙏,2025-11-03 08:08:00
274773a3-f73d-4412-8a05-b8156f2c20eb,Syeikhul Mujib,1,proses deposit & penarikannya terlalu lamaaaa,2025-11-03 07:29:10
45c5c798-ac8c-4493-8e8e-50d144b4fd0c,Ahmad badawi Encep,1,sial banget aku order s&p.. padahal pake market order sekitar jam 21:30 han tapi blum di eksekusi sampe sekarang..... cepetin lagi bang,2025-11-02 23:15:17
8d565b3d-62ee-4aa4-96bc-6050d21ef864,Dendi Hendarmin,3,lama ya verifikasinya padahal udah sy setor 10rb... masuk gak tuh ya,2025-11-02 23:08:11
9af204ec-5a1b-47a0-8187-cd986b762a50,ili suhili,1,belum terverifikasi dh nunggu 7 Minggu,2025-11-02 21:23:43
b7a03766-55d7-4ef6-a1d3-5aac3306c915,Kaka Im,1,maaf banget .awalnya saya mau pake sekutitas ajaib .saat daftar oke oke aja dan login oke. ketika verifikasi akun terhalang di rdn yang harus bca sementara saya bukan pengguna bca. alhasil skip dan pindah ke sekuritas lain yang sat set oke.,2025-11-02 16:09:58
4aa233f3-4d45-48fc-b89f-e2e94f83471d,Wijayanti Dwi,5,"Tampilan ui aplikasi nyaman dipandang,dan banyak sekali fitur²nya kayak nabung reksadana, investasi saham dan yg lain² dan jika ada kendala tidak usah panik hubungi cs yg sangat responsif",2025-11-02 10:56:13
9d56aa14-146a-4bcd-8258-651fbf6981c4,Tamora,5,simpel,2025-11-02 07:30:39
5effb170-6c6b-483b-986a-27e5b72f7d07,Muhammad Iqbal,3,"saya kurangin bintang nya, karena customer service email nya sangat lama buat balas pesan saya",2025-11-02 02:45:09
cc19863e-4dae-4f3a-9d82-85f016245a7c,Meisaheri sandi,4,Cara ganti nomor telepon nya gimana ya,2025-11-01 20:24:27
660a9174-9c05-499e-a107-74d7143f20a2,Vitamin C,5,cocok banget buat pemula belajar trading saham. Aplikasinya mudah dipahami,2025-11-01 16:14:16
fef4ac32-a782-4617-94ec-6ae6364a2304,Togatorop Nurmaya,5,aku suka banget sama fitur lengkap di ajaib saham. di satu aplikask bisa trading saham,2025-11-01 15:30:23
48c6e018-a849-4faa-a37c-f47e3c3ac2da,Kevin Irvan,5,ajaib saham paling nyaman dan mudah dipahami.,2025-11-01 15:27:26
a7c5ae86-2cca-498e-b3b7-51698a78b3ae,Septi Wulandari,5,Trading saham di ajaib sangat menguntungkan sekali,2025-11-01 15:16:16
aaadc4b3-4495-4187-9854-6484e7bad29b,seo ji hye,5,sebagai pemula saya sangat merekomendasikan ajaib untuk investasi saham. Sangat rekomended,2025-11-01 14:22:14
6a8b3cef-c846-49a5-a7c8-c0e9a642ccb4,amel,5,"Tidak hanya saham Indonesia, Ajaib menawarkan reksa dana, obligasi, hingga saham AS. Membantu diversifikasi portofolio investasi saham",2025-11-01 14:09:32
e5fdbb0e-7343-4aff-93b7-4127358d1e6f,Bang Hendy,5,sejauh ini nyaman pakai ini.,2025-11-01 13:05:05
f0c1fb1b-cbde-460d-a3bc-91f61b768a07,Boim Boim,1,kurang kumplit bagi pemula,2025-11-01 12:54:21
3f6b703d-ad3d-4333-a307-483d0762ec79,PallxModsz,5,Aplikasi ini cocok buat saya juga golongan pemula yang ingin investasi saham bagi anda coba juga,2025-11-01 12:46:56
